昆明机场飞行动态,,,,,
,,,,,2017年06月24日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8107,B8329,昆明/1405,/,常州
2,3U8108,B8329,常州/2235,/,昆明
3,3U8129,B6448,昆明/0925,/,版纳
4,3U8130,B6448,版纳/1105,/,昆明
5,3U8206,B1661,广州/0615,/,昆明
6,3U8215,B6953,昆明/1440,/,郑州
7,3U8216,B6953,郑州/1825,/,昆明
8,3U8221,B8499,昆明/1145,/,南宁
9,3U8222,B8499,南宁/1935,/,昆明
10,3U8243,B6956,昆明/1515,/,厦门
11,3U8244,B6956,厦门/1915,/,昆明
12,3U8259,B6772,昆明/1120,/,南京
13,3U8260,B6772,南京/1510,/,昆明
14,3U8513,B6321,昆明/0715,/,重庆
15,3U8514,B6321,重庆/1545,/,昆明
16,3U8527,B6697,昆明/2320,/,西安
17,3U8528,B8500,西安/1950,/,昆明
18,3U8529,B8470,杭州/0900,/,昆明
19,3U8530,B8470,昆明/1305,/,杭州
20,3U8553,B6719,昆明/0845,/,重庆
21,3U8554,B6719,重庆/2235,/,昆明
22,3U8597,B6697,昆明/0745,/,太原
23,3U8598,B6697,太原/1910,/,昆明
24,3U8619,B6175,昆明/2100,/,版纳
25,3U8620,B6449,版纳/2200,/,昆明
26,3U8637,B1661,昆明/1705,/,广州
27,3U8661,B6772,成都/0720,/,昆明
28,3U8662,B1821,昆明/2300,/,成都
29,3U8667,B8325,成都/2125,/,昆明
30,3U8668,B6321,昆明/1820,/,成都
31,3U8669,B6325,昆明/0730,/,成都
32,3U8670,B6325,成都/1710,/,昆明
33,3U8709,B8329,昆明/0850,/,万象
34,3U8710,B8329,万象/1130,/,昆明
35,3U8723,B8499,北京/0720,/,昆明
36,3U8724,B8948,昆明/2150,/,北京
37,3U8761,B6732,昆明/1510,/,无锡
38,3U8762,B6732,无锡/1925,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8767,B8948,昆明/0700,/,南宁
40,3U8768,B8948,南宁/1440,/,昆明
41,3U8807,B1821,昆明/0750,/,徐州
42,3U8808,B1821,徐州/1705,/,昆明
43,3U8817,B6175,昆明/0730,/,丽江
44,3U8818,B6175,丽江/1440,/,昆明
45,3U8823,B6325,昆明/1945,/,南昌
46,3U8824,B6325,南昌/2300,/,昆明
47,3U8837,B8331,昆明/1415,/,万州
48,3U8838,B8331,万州/1140,/,昆明
49,3U8865,B6956,昆明/0720,/,宁波
50,3U8866,B6956,宁波/1110,/,昆明
51,3U8947,B6732,昆明/0655,/,济南
52,3U8948,B6732,济南/1050,/,昆明
53,3U8967,B6448,昆明/1255,/,重庆
54,3U8968,B6448,重庆/2355,/,昆明
55,8L9545,B5359,昆明/0710,/,太原
56,8L9546,B5359,太原/1335,/,昆明
57,8L9555,B7990,昆明/2310,/,海口
58,8L9556,B5732,海口/0700,/,昆明
59,8L9557,B7990,昆明/0610,/,锦州
60,8L9558,B7990,锦州/1645,/,昆明
61,8L9585,B7167,昆明/0710,/,南宁
62,8L9586,B7167,南宁/2235,/,昆明
63,8L9598,B6800,曼谷/0425,/,昆明
64,8L9623,B6015,昆明/1045,/,杭州
65,8L9624,B6015,杭州/1445,/,昆明
66,8L9643,B5249,昆明/0855,/,芒市
67,8L9644,B5249,芒市/1110,/,昆明
68,8L9647,B8446,昆明/0710,/,淮安
69,8L9648,B8446,淮安/1530,/,昆明
70,8L9651,B1798,昆明/0950,/,郑州
71,8L9652,B7989,郑州/0705,/,昆明
72,8L9679,B7992,昆明/1555,/,PEN
73,8L9680,B7992,PEN/2020,/,昆明
74,8L9685,B6221,昆明/0700,/,凯里
75,8L9686,B6221,凯里/1500,/,昆明
76,8L9689,B5359,昆明/1845,/,合肥
77,8L9690,B5359,合肥/2220,/,昆明
78,8L9697,B5407,昆明/0825,/,普吉
79,8L9698,B5407,普吉/1240,/,昆明
80,8L9711,B5732,昆明/1355,/,桂林
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
81,8L9712,B5732,桂林/2150,/,昆明
82,8L9747,B6800,昆明/1415,/,CEB
83,8L9748,B6800,CEB/1915,/,昆明
84,8L9801,B5248,昆明/2255,/,丽江
85,8L9802,B5292,丽江/0800,/,昆明
86,8L9803,B1563,昆明/0715,/,丽江
87,8L9804,B5272,丽江/2100,/,昆明
88,8L9827,B5823,昆明/1105,/,泸沽湖
89,8L9828,B5823,泸沽湖/1255,/,昆明
90,8L9841,B5810,昆明/0900,/,普洱
91,8L9842,B5810,普洱/1035,/,昆明
92,8L9849,B5823,昆明/0705,/,迪庆
93,8L9850,B5823,迪庆/0905,/,昆明
94,8L9855,B7989,昆明/1555,/,绵阳
95,8L9856,B6015,绵阳/0740,/,昆明
96,8L9857,B5248,昆明/1500,/,腾冲
97,8L9858,B5248,腾冲/1650,/,昆明
98,8L9863,B5805,昆明/0700,/,重庆
99,8L9864,B5805,重庆/1550,/,昆明
100,8L9865,B2677,昆明/0710,/,济南
101,8L9866,B2677,济南/1130,/,昆明
102,8L9869,B1586,昆明/1420,/,武汉
103,8L9870,B1586,武汉/2325,/,昆明
104,8L9871,B6959,昆明/1255,/,宜昌
105,8L9872,B6959,宜昌/2230,/,昆明
106,8L9873,B8445,昆明/0700,/,赣州
107,8L9874,B8445,赣州/1425,/,昆明
108,8L9883,B8445,昆明/1800,/,南京
109,8L9884,B8445,南京/2150,/,昆明
110,8L9885,B1588,昆明/0910,/,徐州
111,8L9886,B1588,徐州/2030,/,昆明
112,8L9891,B7991,昆明/1000,/,武汉
113,8L9892,B7991,武汉/2030,/,昆明
114,8L9893,B1586,昆明/0715,/,珠海
115,8L9894,B1586,珠海/1010,/,昆明
116,8L9903,B5823,版纳/2100,/,昆明
117,8L9904,B5823,昆明/1510,/,版纳
118,8L9905,B5810,版纳/0700,/,昆明
119,8L9911,B6198,版纳/0025,/,昆明
120,8L9912,B6198,昆明/2240,/,版纳
121,8L9915,B5292,版纳/1155,/,昆明
122,8L9916,B5292,昆明/1005,/,版纳
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
123,8L9931,B5249,昆明/1730,/,芒市
124,8L9933,B5249,昆明/1320,/,腾冲
125,8L9934,B5249,腾冲/1520,/,昆明
126,8L9941,B6198,昆明/0650,/,大理
127,8L9942,B6198,大理/1655,/,昆明
128,8L9945,B5823,昆明/2355,/,成都
129,8L9946,B5825,成都/2350,/,昆明
130,8L9947,B7988,昆明/1025,/,成都
131,8L9948,B7988,成都/1310,/,昆明
132,8L9955,B7988,昆明/2155,/,郑州
133,8L9956,B6809,郑州/1405,/,昆明
134,8L9965,B7992,昆明/0715,/,三亚
135,8L9966,B7992,三亚/1030,/,昆明
136,8L9971,B6221,昆明/1845,/,海口
137,8L9972,B6221,海口/2145,/,昆明
138,8L9973,B5449,昆明/0705,/,郑州
139,8L9974,B5449,郑州/2230,/,昆明
140,8L9979,B2677,昆明/1620,/,深圳
141,8L9980,B2677,深圳/1955,/,昆明
142,8L9985,B1825,昆明/1530,/,太原
143,8L9986,B1825,太原/2245,/,昆明
144,8L9987,B8446,昆明/2130,/,北京
145,8L9993,B6015,昆明/2200,/,西安
146,8L9994,B7988,西安/0625,/,昆明
147,8L9995,B1825,昆明/0745,/,银川
148,8L9996,B1825,银川/1115,/,昆明
149,9C8595,B6852,绵阳/1755,/,昆明
150,9C8596,B6852,昆明/2035,/,绵阳
151,9C8729,B6820,扬州泰州/1445,/,昆明
152,9C8730,B6820,昆明/1840,/,扬州泰州
153,9C8823,B1657,遵义/1415,/,昆明
154,9C8824,B1657,昆明/1635,/,遵义
155,9C8829,B6645,常德/1630,/,昆明
156,9C8830,B6645,昆明/1935,/,常德
157,9C8937,B9986,石家庄/1035,/,昆明
158,9C8938,B9986,昆明/1450,/,石家庄
159,9C8953,B6708,上海/0725,/,昆明
160,9C8954,B6708,昆明/1245,/,上海
161,A67105,B8318,昆明/0940,/,南昌
162,A67106,B8285,南昌/1445,/,昆明
163,A67107,B8285,昆明/1825,/,郑州
164,A67108,B8285,郑州/2245,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
165,AK101,,VMKK/1305,/,昆明
166,AK102,,昆明/1740,/,吉隆坡
167,B7289,,高雄/0735,/,昆明
168,B7290,,昆明/1210,/,高雄
169,BK2743,B5573,昆明/1425,/,版纳
170,BK2744,B5573,版纳/1615,/,昆明
171,BK2797,B6026,长沙/0705,/,昆明
172,BK2798,B6026,昆明/1810,/,长沙
173,BK2845,B6026,昆明/1025,/,合肥
174,BK2846,B6026,合肥/1410,/,昆明
175,BK2897,B5573,天津/0945,/,昆明
176,BK2898,B5573,昆明/1820,/,天津
177,CA1401,B1418,天津/1530,/,昆明
178,CA1402,B1418,昆明/2020,/,天津
179,CA1403,B1958,北京/0630,/,昆明
180,CA1404,B1958,昆明/1140,/,北京
181,CA1467,B1528,天津/1240,/,昆明
182,CA1468,B1528,昆明/1720,/,天津
183,CA1481,,运城/1120,/,昆明
184,CA1487,B5213,达县/1215,/,昆明
185,CA1488,B5213,昆明/1510,/,达县
186,CA1751,B6031,杭州/0715,/,昆明
187,CA1752,B8429,昆明/1230,/,杭州
188,CA1753,B6731,杭州/1455,/,昆明
189,CA1754,B6731,昆明/1940,/,杭州
190,CA1937,B9922,上海/1555,/,昆明
191,CA1938,B9922,昆明/2100,/,上海
192,CA1955,B8429,温州/0800,/,昆明
193,CA1956,B6031,昆明/1210,/,温州
194,CA1987,B8337,温州/1730,/,昆明
195,CA1988,B8337,昆明/2205,/,温州
196,CA415,,昆明/0800,/,仰光
197,CA415,B6037,成都/0815,昆明/1050,仰光
198,CA416,,仰光/0800,/,昆明
199,CA416,B6037,仰光/1400,昆明/1720,成都
200,CA4171,B1852,昆明/0725,/,北京
201,CA4172,B1852,北京/1155,/,昆明
202,CA4173,B1852,昆明/1645,/,北京
203,CA4174,B1852,北京/2120,/,昆明
204,CA4175,B1853,昆明/0710,/,沈阳
205,CA4176,B1853,沈阳/1130,/,昆明
206,CA4275,B8338,昆明/1545,/,哈尔滨
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
207,CA4276,B8338,哈尔滨/0925,/,昆明
208,CA4413,B6828,成都/1115,/,昆明
209,CA4414,B6828,昆明/1355,/,成都
210,CA4417,B8491,成都/2105,/,昆明
211,CA4418,B6822,昆明/0850,/,成都
212,CA4459,B6847,成都/2155,/,昆明
213,CA4460,B1853,昆明/1825,/,成都
214,CA8929,,郑州/1100,/,昆明
215,CA8930,,昆明/1450,/,郑州
216,CF9017,B2824,昆明/0005,/,南京
217,CF9018,B2824,南京/0600,/,昆明
218,CZ3247,B5300,桂林/1220,/,昆明
219,CZ3248,B5300,昆明/1500,/,桂林
220,CZ3407,B6342,广州/1355,/,昆明
221,CZ3408,B6342,昆明/1735,/,广州
222,CZ3409,B6542,广州/0820,/,昆明
223,CZ3410,B6542,昆明/1155,/,广州
224,CZ3415,B5645,广州/1135,/,昆明
225,CZ3416,B5645,昆明/1500,/,广州
226,CZ3419,B6623,广州/2125,/,昆明
227,CZ3420,B6040,昆明/0735,/,广州
228,CZ3431,B8548,海口/0805,/,昆明
229,CZ3432,B8548,昆明/1055,/,海口
230,CZ3459,B2396,深圳/0800,/,昆明
231,CZ3460,B2396,昆明/1135,/,深圳
232,CZ3467,B6252,长沙/1825,/,昆明
233,CZ3468,B6252,昆明/2130,/,长沙
234,CZ3481,B6209,广州/0700,昆明/1030,大理
235,CZ3482,B6209,大理/1210,昆明/1410,广州
236,CZ3487,B6202,广州/1235,昆明/1615,丽江
237,CZ3488,B6202,丽江/1805,昆明/2010,广州
238,CZ3489,B6292,广州/1830,/,昆明
239,CZ3490,B6292,昆明/2210,/,广州
240,CZ3495,B2696,郑州/1355,/,昆明
241,CZ3496,B2696,昆明/1740,/,郑州
242,CZ3541,B1921,昆明/0755,/,武汉
243,CZ3677,B6702,上海/0740,/,昆明
244,CZ3678,B6702,昆明/1205,/,上海
245,CZ3747,B5676,珠海/1840,/,昆明
246,CZ3748,B5676,昆明/2140,/,珠海
247,CZ3857,B5157,汕头/0840,/,昆明
248,CZ3858,B5157,昆明/1215,/,汕头
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
249,CZ3863,B5157,南宁/1835,/,昆明
250,CZ3864,B5157,昆明/2110,/,南宁
251,CZ3901,B5967,北京/0905,/,昆明
252,CZ3902,B5967,昆明/1345,/,北京
253,CZ3997,B6111,北京/1930,/,昆明
254,CZ6159,B6578,北京/1510,/,昆明
255,CZ6160,B6578,昆明/2005,/,北京
256,CZ6269,B8847,西安/1230,/,昆明
257,CZ6270,B8847,昆明/1550,/,西安
258,CZ6293,B1829,太原/1350,/,昆明
259,CZ6294,B1829,昆明/1750,/,太原
260,CZ6347,B2297,昆明/1925,/,丽江
261,CZ6369,B2916,郑州/1300,昆明/1650,版纳
262,CZ6370,B2916,版纳/1855,昆明/2100,郑州
263,CZ6403,B1803,重庆/1305,/,昆明
264,CZ6404,B1803,昆明/1550,/,重庆
265,CZ6415,B6679,西安/1650,/,昆明
266,CZ6416,B6679,昆明/2005,/,西安
267,CZ6425,B1828,武汉/1040,/,昆明
268,CZ6426,B1828,昆明/1355,/,武汉
269,CZ6459,B1606,重庆/1320,/,昆明
270,CZ6460,B1606,昆明/1700,/,重庆
271,CZ6597,B6397,三亚/1750,/,昆明
272,CZ6598,B6397,昆明/2105,/,三亚
273,CZ6601,B5233,郑州/1820,/,昆明
274,CZ6602,B5233,昆明/2210,/,郑州
275,CZ6799,B8848,上海/1450,/,昆明
276,CZ6800,B8848,昆明/1945,/,上海
277,CZ6923,B6355,深圳/1840,/,昆明
278,CZ6924,B6355,昆明/2220,/,深圳
279,CZ6949,B1952,重庆/1505,/,昆明
280,CZ6950,B1952,昆明/1745,/,重庆
281,CZ6977,B2917,武汉/1825,/,昆明
282,CZ6978,B2917,昆明/2150,/,武汉
283,CZ8509,B6583,青岛/1945,/,昆明
284,CZ8510,B6897,昆明/0810,/,青岛
285,DR6501,B6110,昆明/1310,/,芒市
286,DR6502,B6110,芒市/1455,/,昆明
287,DR6503,B6109,昆明/1700,/,芒市
288,DR6504,B6109,芒市/1840,/,昆明
289,DR6505,B5830,昆明/1830,/,芒市
290,DR6506,B5830,芒市/2025,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
291,DR6507,B6110,昆明/0910,/,芒市
292,DR6508,B6110,芒市/1050,/,昆明
293,DR6509,B7088,昆明/0840,/,版纳
294,DR6510,B7088,版纳/1035,/,昆明
295,DR6511,B5830,昆明/2240,/,版纳
296,DR6512,B5830,版纳/0030,/,昆明
297,DR6515,B7088,昆明/1330,/,襄阳
298,DR6516,B7088,襄阳/2230,/,昆明
299,DR6521,B1595,昆明/0700,/,成都
300,DR6522,B1595,成都/2250,/,昆明
301,DR6523,B6110,昆明/1710,/,丽江
302,DR6524,B6110,丽江/2255,/,昆明
303,DR6529,B5829,昆明/0735,/,太原
304,DR6530,B5829,太原/1455,/,昆明
305,DR6533,B7867,昆明/0720,/,武汉
306,DR6534,B7865,武汉/2145,/,昆明
307,DR6537,B1597,昆明/1855,/,兰州
308,DR6538,B1597,兰州/2205,/,昆明
309,DR6557,B7866,昆明/1155,/,呼和
310,DR6558,B7866,呼和/2200,/,昆明
311,DR6559,B1593,昆明/1240,/,太原
312,DR6560,B1593,太原/2240,/,昆明
313,DR6569,B1593,昆明/0720,/,北海
314,DR6570,B1593,北海/0945,/,昆明
315,DR6578,B5812,榆林/1910,/,昆明
316,DR6579,B6109,昆明/2040,/,芒市
317,DR6580,B6109,芒市/1350,/,昆明
318,EU2223,B8608,成都/0635,/,昆明
319,EU2224,B8608,昆明/2325,/,成都
320,EU2225,B8608,昆明/1925,/,版纳
321,EU2226,B8608,版纳/2115,/,昆明
322,EU2721,B8608,昆明/0920,/,柳州
323,EU2722,B8608,柳州/1655,/,昆明
324,FD582,,廊曼/0900,/,昆明
325,FD583,,昆明/1320,/,廊曼
326,FM9397,B6866,长沙/1250,/,昆明
327,FM9398,B6866,昆明/1610,/,长沙
328,FM9429,B1720,衡阳/1420,/,昆明
329,FM9430,B1720,昆明/1725,/,衡阳
330,FM9451,B2570,上海/0900,/,昆明
331,FM9452,B2570,昆明/1350,/,上海
332,FM9453,B5261,上海/0815,昆明/1300,版纳
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
333,FM9454,B5261,版纳/1445,昆明/1650,上海
334,FM9539,B2688,温州/0740,/,昆明
335,FM9540,B2688,昆明/1200,/,温州
336,FM9541,B5320,郑州/0750,/,昆明
337,FM9542,B5320,昆明/1150,/,郑州
338,FU6509,B1559,福州/1815,/,昆明
339,FU6510,B1559,昆明/2225,/,福州
340,G52627,B7691,南阳/1545,/,昆明
341,G52628,B7691,昆明/1905,/,南阳
342,GJ8661,B8983,贵阳/2320,/,昆明
343,GJ8662,B1868,昆明/0730,/,贵阳
344,GJ8871,B1676,昆明/0810,/,临沂
345,GJ8872,B1676,临沂/1925,/,昆明
346,GJ8881,B8335,杭州/1710,/,昆明
347,GJ8882,B8335,昆明/2125,/,杭州
348,GX8981,B3179,南宁/0830,/,昆明
349,GX8982,B3179,昆明/1100,/,南宁
350,HO1019,B6602,大庸/1650,/,昆明
351,HO1020,B6602,昆明/1945,/,大庸
352,HO1091,B1870,上海/1610,/,昆明
353,HO1092,B1870,昆明/2025,/,上海
354,HO1093,B8236,上海/2105,/,昆明
355,HO1094,B6735,昆明/0740,/,上海
356,HO1095,B8235,毕节/1640,/,昆明
357,HO1096,B8235,昆明/1840,/,毕节
358,HO1099,B8236,上海/1200,/,昆明
359,HO1100,B8236,昆明/1635,/,上海
360,HO1121,B8538,上海/0835,/,昆明
361,HO1122,B8538,昆明/1255,/,上海
362,HU7087,B7399,海口/0740,/,昆明
363,HU7088,B7399,昆明/1035,/,海口
364,HU7111,B5955,北京/1540,/,昆明
365,HU7112,B5955,昆明/2025,/,北京
366,HU7163,B5481,深圳/0755,/,昆明
367,HU7164,B5481,昆明/1125,/,深圳
368,HU7311,B1997,北京/2130,/,昆明
369,JD5155,B1621,丽江/1405,/,昆明
370,JD5156,B1621,昆明/1605,/,丽江
371,JD5165,B6179,丽江/0940,/,昆明
372,JD5166,B6179,昆明/1550,/,丽江
373,JD5789,B8171,版纳/1005,/,昆明
374,JD5790,B8171,昆明/1220,/,版纳
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
375,JD5791,B6179,昆明/1145,/,芒市
376,JD5792,B6179,芒市/1340,/,昆明
377,KA760,,香港/1155,/,昆明
378,KA760,,香港/0800,/,昆明
379,KA761,,昆明/1530,/,香港
380,KA761,,昆明/0800,/,香港
381,KE885,,首尔仁川/1830,/,昆明
382,KE886,,昆明/2355,/,首尔仁川
383,KY8205,B5025,昆明/0905,/,济南
384,KY8206,B5025,济南/1955,/,昆明
385,KY8209,B7872,昆明/1255,/,版纳
386,KY8210,B7872,版纳/2220,/,昆明
387,KY8221,B6492,昆明/1725,/,重庆
388,KY8222,B6492,重庆/2005,/,昆明
389,KY8231,B7870,昆明/1640,/,丽江
390,KY8232,B7870,丽江/2345,/,昆明
391,KY8233,B6493,昆明/1355,/,太原
392,KY8234,B5672,太原/2000,/,昆明
393,KY8239,B7089,昆明/1620,/,青岛
394,KY8240,B7089,青岛/2050,/,昆明
395,KY8243,B2678,昆明/1815,/,普洱
396,KY8244,B2678,普洱/1950,/,昆明
397,KY8245,B2679,昆明/1500,/,芒市
398,KY8246,B2679,芒市/1645,/,昆明
399,KY8247,B2678,昆明/2155,/,芒市
400,KY8248,B2678,芒市/2345,/,昆明
401,KY8249,B7871,昆明/2010,/,丽江
402,KY8250,B7871,版纳/2335,/,昆明
403,KY8251,B7872,昆明/0755,/,保山
404,KY8252,B7872,保山/0940,/,昆明
405,KY8253,B6495,昆明/0810,/,西安
406,KY8254,B6495,西安/1120,/,昆明
407,KY8255,B7870,昆明/0850,/,临沧
408,KY8256,B7870,临沧/1055,/,昆明
409,KY8257,B1991,昆明/0825,/,郑州
410,KY8266,B2669,杭州/2055,/,昆明
411,KY8269,B5026,昆明/1910,/,丽江
412,KY8270,B5026,版纳/2255,/,昆明
413,KY8273,B6492,昆明/1020,/,武汉
414,KY8274,B6492,武汉/1340,/,昆明
415,KY8281,B6495,昆明/1440,/,上海
416,KY8282,B6495,上海/1915,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
417,KY8283,B7089,昆明/0740,/,上海
418,KY8284,B7089,上海/1155,/,昆明
419,KY8285,B6492,昆明/2240,/,广州
420,KY8286,B6492,广州/0645,/,昆明
421,KY8295,B6491,昆明/0705,/,重庆
422,KY8296,B6491,重庆/1620,/,昆明
423,KY8297,B1926,昆明/0940,/,石家庄
